Ticker,Return(1Y)%
CNC,-41.112533
HPQ,-24.891842
MOS,-2.086501
CMCSA,-35.765247
TAP,-17.352057
APA,-7.78241
MOH,-54.092583
VTRS,-2.940185
CAG,-36.788992
DVN,-16.934241
CHTR,-44.818881
DVA,-17.617463
LKQ,-16.550196
DOW,-49.33183
MHK,-25.142281
BA,34.289202
KHC,-23.686143
VZ,3.067581
CI,-16.07717
ELV,-24.488345
DAL,-4.937476
UAL,10.356245
BAX,-49.158819
ACGL,-9.46822
EIX,-25.948113
FI,-69.696969
T,14.965037
LEN,-24.531618
ALL,5.152552
GM,26.248748
IP,-36.009851
PHM,-6.794474
PFG,-2.221195
AIG,1.239128
LYB,-44.790662
TGT,-35.170948
UHS,12.485301
FANG,-23.255702
GPN,-30.395361
HIG,11.698199
COP,-20.330987
TRV,10.740667
L,22.216288
BG,15.359158
PCG,-19.157499
TSN,-8.318336
MET,-2.74978
GL,21.508352
SW,"Ticker
SW   -29.966231
dtype: float64"
DHI,"Ticker
DHI   -11.885898
dtype: float64"
