Ticker,P/E,P/B,P/S,EV/EBITDA
MMM,26.165606,18.861341,3.51625,15.473
AOS,17.797844,4.9845247,2.4004264,11.786
ABT,15.645729,4.250077,4.939423,18.908
ABBV,164.2197,-144.99666,6.423378,15.12
ACN,20.41351,4.940098,2.2057738,12.389
ADBE,20.918327,11.972952,6.0589643,15.581
AMD,133.5052,6.8563094,13.030127,68.685
AES,9.355264,2.7746341,0.8416191,14.826
AFL,14.617608,2.3441648,3.664515,18.519
A,34.212124,6.534147,6.1298404,23.759
APD,33.648724,3.402707,4.384664,16.282
ABNB,29.733011,9.649468,6.476586,24.84
AKAM,25.787989,2.427569,2.5627317,12.837
ALB,,1.351697,2.1673381,32.238
ARE,,0.55762005,3.0780137,13.921
ALGN,26.591087,2.5094187,2.4973133,11.304
ALLE,22.406755,7.3279705,3.5844305,16.87
LNT,20.632715,2.4042437,4.1467257,15.53
ALL,6.3128037,2.3350759,0.77498055,6.838
GOOGL,28.093874,8.875534,8.906255,23.258
GOOG,28.081854,8.88927,8.906256,23.295
MO,10.908398,-36.269035,4.7581506,9.378
AMZN,35.33898,7.2339315,3.8689075,19.621
AMCR,25.21875,1.5860848,1.2411529,16.248
AEE,22.25934,2.2239788,3.3732128,14.385
AEP,17.534407,2.108859,3.0156374,12.765
AXP,24.566822,7.774873,3.8591895,
AIG,13.726619,1.0879854,1.7558949,5.129
AMT,28.662937,21.25696,8.03462,19.897
AWK,23.0581,2.3430178,5.0404997,14.736
AMP,12.625688,6.623144,2.3037987,
AME,31.239746,4.331263,6.3641067,21.129
AMGN,24.756964,29.221632,4.932795,12.875
APH,46.289997,13.572125,8.104732,28.741
ADI,59.898476,3.4061713,11.177797,26.112
AON,27.31415,9.262423,4.313095,16.597
APA,7.494809,1.3159974,0.79045844,2.274
APO,24.953358,4.2686625,3.083375,
AAPL,36.2118,54.125427,9.591682,27.975
AMAT,28.745823,9.839072,6.7068534,21.159
APP,73.02367,179.11465,36.377132,61.518
APTV,63.340908,1.9506335,0.8965065,7.758
ACGL,8.205249,1.3990763,1.6454545,6.406
ADM,24.473913,1.2107459,0.32509246,13.484
ANET,53.391632,17.720848,22.239971,53.058
AJG,39.688,2.7450092,5.2738295,22.76
AIZ,13.295371,2.1731253,0.89523286,9.072
T,8.0,1.5770885,1.3987539,7.488
ATO,23.871368,2.0696726,5.992526,16.0
ADSK,62.43983,23.612112,9.705446,39.177
ADP,25.64921,16.489012,5.0222816,17.587
AZO,25.252121,-17.873037,3.2159336,17.33
AVB,21.702078,2.0823376,8.270764,18.082
AVY,19.809307,6.120932,1.538152,11.621
AXON,204.3227,21.051022,21.101282,636.534
BKR,16.22069,2.5555496,1.6750693,10.633
BALL,24.20297,2.430887,1.0481613,10.114
BAC,14.330601,1.3820453,3.7756016,
BAX,,1.2592074,0.8370954,7.734
BDX,32.246803,1.984854,2.3640802,11.681
BRK.B,,,,
BBY,22.28099,6.2653956,0.40850493,7.553
TECH,122.32652,4.7402134,7.669943,28.576
BIIB,13.986325,1.2362021,2.236117,7.373
BLK,27.626606,3.3808007,7.275976,19.734
BX,41.471268,13.4601755,13.881193,
XYZ,15.737181,2.028311,1.8836411,27.868
BK,15.683984,1.941309,3.8408267,
BA,,-18.183659,1.8600254,-29.841
BKNG,31.948671,-33.501255,6.079539,16.25
BSX,52.887703,6.266633,7.5773177,31.083
BMY,15.646465,5.0998683,1.9694684,6.723
AVGO,91.810745,6.0617013,28.288801,5.403
BR,27.915709,9.648627,3.7035768,17.193
BRO,23.587877,2.1178646,4.9675126,18.914
BF.B,,,,
BLDR,21.16888,2.8574355,0.7881125,10.691
BG,12.143583,1.2915388,0.37591773,13.313
BXP,,2.1978266,3.744547,17.164
CHRW,30.935356,9.764699,1.0960668,22.333
CDNS,84.65892,17.153402,17.108692,47.13
CPT,71.2028,2.416805,6.9292264,16.627
CPB,14.975124,2.2987628,0.87397456,8.493
COF,75.821915,1.2983738,4.872652,
CAH,29.681747,-16.26767,0.199549,14.487
CCL,13.865979,2.9589705,1.3466908,8.803
CARR,35.53125,3.3067706,2.170624,16.199
CAT,29.247177,12.893324,4.122942,21.572
CBOE,27.032257,5.385027,5.697005,17.628
CBRE,42.154495,5.15368,1.1356587,19.915
CDW,18.474749,7.5070553,0.86202323,12.621
COR,44.416565,34.65492,0.21674347,16.403
CNC,,0.86422074,0.107988566,4.244
CNP,24.594936,2.2991362,2.7836802,13.705
CF,10.28416,2.775602,2.136777,6.419
CRL,,2.477654,2.0487027,11.934
SCHW,21.93911,3.9818082,7.421216,
CHTR,6.242029,1.8993748,0.52880305,5.904
CVX,21.471167,1.8016593,1.6169435,7.691
CMG,28.292034,13.156378,3.5863063,19.583
CB,11.83208,1.554469,1.8945178,10.645
CHD,27.340693,4.927511,3.3890364,17.221
CI,11.496014,1.6554002,0.25865898,8.299
CINF,11.907738,1.6205597,2.0673292,8.618
CTAS,41.29111,15.743941,7.0733027,27.784
CSCO,28.27451,6.0951896,5.0151143,19.378
C,14.282304,0.9380391,2.4136944,
CFG,14.408963,0.93574905,2.9682615,
CLX,17.098902,-601.76794,1.9622068,13.354
CME,25.968992,3.4210293,15.135115,21.771
CMS,20.913544,2.5559118,2.6623852,13.565
KO,22.68543,9.432741,6.1830606,20.182
CTSH,17.282408,2.4206467,1.727688,9.225
COIN,27.621105,5.355226,11.681446,41.136
CL,21.543419,72.41996,3.0847619,14.406
CMCSA,4.6411963,1.0517598,0.82563937,5.051
CAG,9.655368,0.9168947,0.7139452,8.009
COP,11.756032,1.6704125,1.8444118,5.08
ED,17.474546,1.4605051,2.1457367,10.472
STZ,19.0131,3.0478811,2.376074,9.28
CEG,37.878,8.439628,4.5721726,18.91
COO,33.764706,1.6393754,3.3848178,14.417
CPRT,26.371069,4.415543,8.732873,39.115
GLW,55.833336,6.1007214,5.0067773,24.376
CPAY,17.78994,4.7035246,4.430026,11.205
CTVA,25.777327,1.834976,2.5085282,12.374
CSGP,1174.0001,3.462446,9.767406,184.15
COST,51.290733,14.210615,1.5055709,31.934
CTRA,11.921296,1.3348885,2.9118478,5.346
CRWD,,35.664017,30.878145,-1421.824
CCI,,-26.174244,6.0931892,17.702
CSX,22.935066,5.156957,4.6569905,12.995
CMI,20.580132,5.133006,1.7945691,12.907
CVS,206.71054,1.367895,0.25457358,11.726
DHR,43.664608,2.9348068,6.17663,21.829
DRI,19.303324,9.419456,1.6942278,14.736
DDOG,430.49997,16.906294,17.920263,1725.883
DVA,12.5036125,-15.037855,0.64228255,8.436
DAY,,4.069588,5.7934804,103.75
DECK,12.156017,4.8465643,2.2735794,8.277
DE,24.748695,5.086495,2.8938382,22.275
DELL,22.282164,-37.191315,1.0068429,12.215
DAL,8.2567,2.0173686,0.6075086,7.013
DVN,7.283784,1.3657671,1.2747241,3.63
DXCM,32.933334,8.480687,5.1197243,21.89
FANG,9.641151,1.0076034,2.6572144,5.84
DLR,43.1399,2.5623586,9.969603,28.682
DG,18.631481,2.763935,0.53166854,12.532
DLTR,20.333334,5.9556108,1.1535869,13.232
D,19.506536,1.9091636,3.2233026,13.566
DPZ,23.415789,-3.5472183,2.7904022,19.79
DASH,120.20202,11.387015,8.547488,119.819
DOV,23.422424,3.2154427,3.1097388,14.818
DOW,,0.92264676,0.39557534,9.18
DHI,12.566609,1.7683936,1.24899,10.089
DTE,20.089954,2.288994,1.8775822,14.774
DUK,20.256954,1.9290233,3.1200266,12.129
DD,233.11765,0.71942055,1.3162324,7.083
ETN,38.621246,7.9529557,5.6210303,26.295
EBAY,17.962305,7.7939196,3.4176328,14.74
ECL,37.309795,11.038025,4.6152525,20.918
EIX,7.441677,1.4086534,1.2078842,8.857
EW,36.17467,4.6183863,8.265978,25.518
EA,58.52478,8.342269,6.8695765,32.549
ELV,12.951139,1.6068379,0.36284623,7.475
EME,27.168945,9.064944,1.8614273,17.554
EMR,32.866,3.751487,4.1925116,18.432
ETR,23.714285,2.58068,3.3777053,12.753
EOG,10.202716,1.9643325,2.5192142,4.811
EPAM,22.921654,2.4434357,1.7673371,11.314
EQT,18.237785,1.5092459,4.5326385,8.936
EFX,39.192818,5.147092,4.2696743,16.233
EQIX,75.77142,5.7018805,8.8938675,25.551
EQR,19.661184,2.0550818,7.6126785,16.928
ERIE,23.257465,6.5261016,3.7293653,17.83
ESS,19.799238,2.9776866,9.382044,19.14
EL,,8.438166,2.2722702,19.319
EG,23.975428,0.8795834,0.7646384,
